鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
內湖區,房地(土地+建物),臺北市內湖區內湖路三段60巷12弄51~100號,15.36,住,,,10107,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830804,49.7,1,1,1,有,有,8600000,173043,,0,0,309657,2775790
內湖區,車位,臺北市內湖區港墘路151~200號,8.69,工,,,10109,土地0建物0車位3,地下三層,9,其他,停車空間,鋼筋混凝土造,881220,102.92,0,0,0,有,有,4500000,,坡道平面,0,4500000,307948,2774288
中山區,房地(土地+建物),臺北市中山區林森北路101~150號,2.49,商,,,10109,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971215,29.8,0,1,1,有,有,5730000,192266,,0,0,303000,2771510
中山區,房地(土地+建物),臺北市中山區中山北路一段51~100號,3.01,商,,,10109,土地1建物1車位0,三層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,980327,33.99,1,1,1,有,有,6800000,200079,,0,0,302550,2771343
中山區,房地(土地+建物),臺北市中山區復興北路320巷1~50號,45,住,,,10108,土地2建物1車位0,一層,4,公寓(5樓含以下無電梯),,加強磚造,,88.82,2,2,2,有,無,23970000,269872,,0,0,304827,2772464
中山區,房地(土地+建物),臺北市中山區農安街51~100號,9.81,住,,,10108,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,910320,39.46,2,1,1,有,有,6200000,157112,,0,0,303309,2773050
內湖區,房地(土地+建物),臺北市內湖區成功路三段187巷1~50號,30.2,住,,,10109,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690331,98.68,3,2,2,有,無,12850000,130219,,0,0,309706,2774680
中山區,房地(土地+建物),臺北市中山區民生西路1~50號,8.42,商,,,10109,土地3建物2車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760722,70.72,2,1,1,有,有,10500000,148488,,0,0,302649,2772251
內湖區,房地(土地+建物),臺北市內湖區康寧路三段189巷51~100號,28.91,住,,,10108,土地1建物1車位0,八層,10,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,831229,111.54,3,2,2,有,有,15500000,138958,,0,0,311759,2773990
內湖區,房地(土地+建物),臺北市內湖區民權東路六段101~150號,3.72,商,,,10108,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960621,36.96,1,1,1,有,有,5800000,156942,,0,0,309507,2773499
中正區,房地(土地+建物),臺北市中正區衡陽路101~150號,3.79,商,,,10108,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,970131,50.59,1,1,1,無,有,9800000,193732,,0,0,301463,2770524
中正區,房地(土地+建物)+車位,臺北市中正區中華路一段51~100號,20.2,商,,,10109,土地1建物2車位2,五層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1010709,284.78,3,2,3,有,有,73400000,257748,升降機械,0,0,301221,2770055
中正區,房地(土地+建物)+車位,臺北市中正區中華路一段51~100號,9.22,商,,,10108,土地1建物2車位2,一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1010709,129.17,3,2,3,有,有,55000000,425812,升降機械,0,0,301229,2770047
萬華區,房地(土地+建物),臺北市萬華區雅江街51~100號,19.25,商,,,10108,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,600402,45.11,2,2,2,有,無,5700000,126358,,0,0,300627,2770544
萬華區,房地(土地+建物),臺北市萬華區西園路二段51~100號,24.36,其他,,,10108,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,721205,106.49,3,1,2,有,無,11000000,103299,,0,0,300134,2769359
大同區,房地(土地+建物),臺北市大同區重慶里敦煌路24巷1~50號,20.43,住,,,10104,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671123,71.16,3,0,3,有,無,8150000,114531,,0,0,302383,2774109
萬華區,房地(土地+建物),臺北市萬華區雅江街1~50號,26.95,住,,,10109,土地2建物1車位0,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010330,138.61,3,2,2,有,有,22180000,160021,,0,0,300603,2770618
中正區,房地(土地+建物),臺北市中正區晉江街101~150號,43,住,,,10109,土地2建物1車位0,一層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,,101.11,3,2,2,有,無,26200000,259124,,0,0,302990,2768358
文山區,土地,木柵段一小段651~700地號,8.69,其他,,,10108,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,250000,28772,,0,0,307304,2764734
文山區,房地(土地+建物)+車位,臺北市文山區木柵路三段151~200號,25.13,商,,,10108,土地1建物2車位2,十五層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,981126,329.3,4,2,2,有,有,48480000,147222,坡道平面,68.04,0,307473,2764774
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路四段77巷1~50號,29.19,住,,,10109,土地3建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870731,145.72,3,2,2,有,有,15000000,102936,坡道平面,32.55,0,306441,2766661
中正區,房地(土地+建物),臺北市中正區汀州路三段1~50號,30.25,住,,,10109,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,104.37,3,2,2,有,無,19500000,186835,,0,0,303129,2768092
文山區,房地(土地+建物),臺北市文山區仙岩路22巷1~50號,24.02,住,,,10108,土地1建物1車位0,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840411,77.36,2,2,1,有,有,10700000,138307,,0,0,305503,2765736
文山區,土地,政大段二小段551~600地號,15.72,其他,,,10109,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,278150,17694,,0,0,308515,2764031
文山區,車位,臺北市文山區景興路251~300號,1.49,商,,,10109,土地0建物0車位1,二層,12,其他,見使用執照,鋼筋混凝土造,910408,23.98,0,0,0,無,有,1400000,,升降平面,23.98,0,304779,2764805
